DistrictNCESID	FIPSStateCode	LEANAME	StateLEAIDNumber	County	LOC_ADDRESS1	LOC_CITY	LOC_STATE	LOC_ZIPCODE	MAIL_ADDRESS1	MAIL_CITY	MAIL_STATE	MAIL_ZIPCODE	PhoneNumber	SCHOOLYEAR	OPERATIONSTATUS
1800046	75	Chang-Fisher School	9800	Tammyfort	7593 Juan Throughway Apt. 948	West Corey	CA	90152	8156 Carr Ford Suite 784	Port Samanthatown	CO	94834	0975351393	2021-2022	Pending
1800047	45	Davis-Kaiser School	9716	Rodriguezside	185 Tamara Rapids Suite 719	Stewartbury	LA	24601	09471 Erika Curve	North Megan	MH	92162	8483396947	2023-2024	Pending
1800048	24	Salazar-Tucker School	9318	Meganbury	413 Norton Isle	Cabreraville	WY	19684	98910 Cynthia Rest	South Christopherville	AZ	79865	3217300869	2021-2022	Pending
1800049	47	Jones LLC School	9170	Ryanton	91634 Strong Mountains Apt. 302	West Alyssa	DE	78723	207 Mccullough Well Suite 564	New Hannah	NH	97700	5084237594	2023-2024	Closed
1800050	40	Baldwin Group School	9975	Pooleland	352 Jeffrey Mission	Pageshire	VI	54818	9602 Brown Squares	South Allison	NM	74085	0754706381	2022-2023	Open
1800051	58	Butler, Smith and Smith School	9739	Port Emmaville	93442 Thomas Locks	North Joshuamouth	AS	15676	85124 Bobby Ford Suite 855	Port Karafort	VT	84930	6582369402	2022-2023	Closed
1800052	70	Clarke-Higgins School	9468	Kimberlyton	2294 Foster Plaza	West Danny	VA	31919	2814 Houston Hills	Rodriguezside	PW	63569	5517176045	2023-2024	Closed
1800053	24	Drake-Frey School	9060	North Lindseyborough	60168 West Overpass	South Christopher	IN	34699	3511 Rebecca Mission	North Tyler	KS	27663	3921376582	2022-2023	Closed
1800054	98	Elliott Ltd School	9712	Richfort	7389 Alec Squares Suite 508	Port Jonathan	WY	20935	471 Zachary Canyon Apt. 320	Alexismouth	MA	21562	7586880918	2023-2024	Closed
1800055	17	Roberts PLC School	9739	Petersenfort	930 Joy Hollow Suite 517	Sherriport	WI	53987	0223 Blair Isle Apt. 076	South Pamela	PA	94504	2560976701	2023-2024	Pending
1800056	30	George and Sons School	9854	Danielside	67109 Mendez Junction Apt. 942	Lloydville	NC	25290	7537 Clarke Club	North Toddtown	NC	87861	3188684126	2022-2023	Open
1800057	89	Perry Inc School	9325	Ayalatown	6075 Miller Cliffs Apt. 505	Gregorybury	GU	48447	230 Donna Street	Lake Adrianstad	UT	03731	2271754203	2021-2022	Closed
1800058	40	Phillips-Johns School	9231	Jackland	942 Hurst Crossroad	West William	IA	99441	5602 Phillip Squares	East Robertside	MT	97609	9645137580	2022-2023	Closed
1800059	14	Hayden-Valenzuela School	9318	Harrisport	21418 Laura Mission Suite 266	East Susan	MA	69097	7173 Smith Square	Montgomerytown	IL	39633	4892671738	2022-2023	Closed
1800060	74	Nelson Ltd School	9667	North Jonathanhaven	1454 Caitlin Camp Apt. 448	Davidbury	MH	21938	4482 Amanda Loop	Figueroaview	LA	58482	9221166972	2023-2024	Pending
1800061	13	Kennedy, Perry and Woods School	9510	Trevorton	2709 Anthony Mountains Suite 081	Lake Stacyfurt	AL	47854	90443 Karen Heights	North Ryan	VT	43780	2566272852	2021-2022	Closed
1800062	96	Clarke-Price School	9396	Pricebury	3906 Jim Corner	West Brian	SC	89301	94918 Wise Knoll	Ellishaven	TN	85502	9774735400	2023-2024	Open
1800063	80	Roberts Inc School	9645	North Kristin	683 Lee Rest	New Nicolemouth	MD	70742	4080 Miguel Fords Suite 334	Larryfurt	KS	63688	3048107770	2023-2024	Closed
1800064	24	Wilson-Miller School	9150	Port Kathychester	9168 Williams Falls	South Jeffrey	MP	37069	6184 Jennifer Tunnel Suite 897	Josephtown	DE	81093	2633408860	2022-2023	Closed
