LEA Ide,LEA Identifier (Stat,FI,Education Entity Name,School Ident,Mailing Address1,Mailing Address2,Mailing Address3,City,St,Zip,Telephone Education ,School Ye,School Operational S
1390046,149983,58,Smith Elementary School,100000000000,4480 Owens Ridges,,,NORTH GARY,VI,01710,5150783460,2022-2023,Pending
1390047,368939,95,Martin Elementary School,100000000001,188 Alexandra Road,,,MORRISBURY,WA,78797,5419921707,2022-2023,Pending
1390048,985406,94,Strong Elementary School,100000000002,822 Brady Squares,,,WEST CASSIE,ND,76356,0309547944,2022-2023,Open
1390049,718546,67,Petty Elementary School,100000000003,781 Vanessa Expressway,,,ROBERTSIDE,KS,95452,5480816196,2022-2023,Closed
1390050,825863,31,Bowen Elementary School,100000000004,2680 Simmons Haven,,,NORTH TERRI,OK,58631,9380378628,2022-2023,Closed
1390051,287597,32,Ho Elementary School,100000000005,0854 Anderson Fields,,,MARISSAMOUTH,LA,00922,6680215634,2022-2023,Closed
1390052,123697,21,Cunningham Elementary School,100000000006,3066 Rivera Fields,,,NEW BRENDA,AZ,64885,3422730136,2022-2023,Closed
1390053,944523,31,Thomas Elementary School,100000000007,409 Kenneth Light Apt. 951,,,COXSHIRE,AZ,13756,7344101963,2022-2023,Pending
1390054,400893,91,Underwood Elementary School,100000000008,722 Alicia Cliffs Suite 521,,,STANLEYBOROUGH,VT,64632,0244846907,2022-2023,Pending
1390055,121427,34,Griffith Elementary School,100000000009,9143 Ford Mills Apt. 751,,,DEBORAHBOROUGH,OR,18254,1208987874,2022-2023,Open
1390056,930565,4,Bell Elementary School,100000000010,00361 Tanya Mountains Apt. 140,,,SOUTH CATHERINE,CA,02985,2723338007,2022-2023,Pending
1390057,631456,48,Brewer Elementary School,100000000011,900 Stephanie Locks,,,KRISTENFORT,KS,13663,1558389938,2022-2023,Open
1390058,260888,23,Wright Elementary School,100000000012,1146 Romero Pines,,,NORTH NATHAN,MO,16295,0680949530,2022-2023,Closed
1390059,166120,73,Hall Elementary School,100000000013,14470 Rodney Greens Suite 991,,,NEW DAVID,MN,35533,0164540275,2022-2023,Open
1390060,162782,38,Coleman Elementary School,100000000014,29381 Huber Parkway,,,BROWNSTAD,IL,61038,7817359559,2022-2023,Closed
1390061,941422,92,Goodwin Elementary School,100000000015,6653 Melissa Landing,,,MCKAYSIDE,FM,37483,3163230561,2022-2023,Pending
1390062,269488,41,Montgomery Elementary School,100000000016,25765 Michael Highway Suite 627,,,LAKE STEVEN,MT,71344,5102553145,2022-2023,Open
1390063,117917,7,Hale Elementary School,100000000017,77131 Jamie Rue,,,WEST NATHAN,ME,91568,0590526168,2022-2023,Open
1390064,266328,38,Ferrell Elementary School,100000000018,50177 Stephanie Pine Apt. 161,,,ANDERSONFORT,OK,74845,9608093292,2022-2023,Open
1390065,779480,99,Lee Elementary School,100000000019,776 Roberson Terrace,,,MORGANSIDE,SD,83462,2907774630,2022-2023,Pending
1390066,696242,82,Tucker Elementary School,100000000020,395 Heather Turnpike,,,AMANDABURGH,NE,82068,4631956268,2022-2023,Pending
1390067,110947,98,Henderson Elementary School,100000000021,5640 Sara Lakes Apt. 150,,,VALENCIACHESTER,IL,77372,3651034134,2022-2023,Pending
1390068,542169,50,Young Elementary School,100000000022,542 Deborah Park Apt. 279,,,NORTH KYLEMOUTH,VA,35586,8825422564,2022-2023,Open
1390069,603487,20,Rosales Elementary School,100000000023,734 Pearson Via,,,HENRYMOUTH,MH,64909,0575711844,2022-2023,Closed
1390070,598266,42,Mcclure Elementary School,100000000024,57680 Weaver Route Apt. 509,,,DUFFYCHESTER,IN,90218,4883983186,2022-2023,Pending
1390071,916329,61,Baker Elementary School,100000000025,72890 Wright Groves Apt. 423,,,SOUTH JODI,IA,35989,3952163399,2022-2023,Open
1390072,608702,41,Tucker Elementary School,100000000026,114 Anthony Keys Apt. 744,,,BENNETTBURY,TX,73823,8915651829,2022-2023,Closed
1390073,411205,96,Beard Elementary School,100000000027,8221 Clayton Cape Apt. 856,,,STEPHANIEVILLE,UT,97658,0386066988,2022-2023,Pending
1390074,239683,91,Dalton Elementary School,100000000028,8437 Thompson Row Suite 887,,,COREYTOWN,MA,99936,7284017274,2022-2023,Open
1390075,371438,34,Vargas Elementary School,100000000029,270 Lindsey Knoll,,,RONALDBURY,DE,54372,9981999740,2022-2023,Closed
1390076,110224,65,Wilson Elementary School,100000000030,95092 Bates Falls Suite 736,,,COURTNEYSIDE,GU,02279,5973769956,2022-2023,Pending
1390077,912932,15,Moore Elementary School,100000000031,07021 April Springs,,,LAKE DAVIDCHESTER,ID,69751,2621658370,2022-2023,Pending
1390078,927252,99,Warren Elementary School,100000000032,191 Sherri Falls,,,SHARONSHIRE,NC,19659,4999354272,2022-2023,Closed
1390079,274461,98,Martinez Elementary School,100000000033,6092 Juan View Apt. 602,,,WEST CHASE,ID,03082,6673415765,2022-2023,Pending
1390080,170563,37,Charles Elementary School,100000000034,3780 Sanchez Forks Suite 840,,,RICHARDSONBOROUGH,IA,25247,0910135918,2022-2023,Closed
1390081,843772,95,Brock Elementary School,100000000035,7391 Heather Valley Suite 921,,,JENNIFERCHESTER,MH,40302,2133440128,2022-2023,Pending
1390082,991295,72,Miller Elementary School,100000000036,833 Shawn Parks,,,GARCIASTAD,NE,71877,0699292658,2022-2023,Closed
1390083,281026,50,House Elementary School,100000000037,706 Williams Islands,,,WEST MARY,AK,43127,1896498230,2022-2023,Pending
1390084,248287,56,Griffin Elementary School,100000000038,0954 Alexis Burg Suite 021,,,WEST LARRYLAND,CA,10999,9905599708,2022-2023,Pending
1390085,657467,65,Roberts Elementary School,100000000039,55526 Randall Valley,,,WEST OLIVIASIDE,IL,39678,9064300927,2022-2023,Closed
1390086,701462,92,Roberson Elementary School,100000000040,6818 Robinson Greens Apt. 594,,,JESUSPORT,MA,69260,4671163234,2022-2023,Pending
1390087,781426,78,Lucas Elementary School,100000000041,87513 Collins Radial Apt. 001,,,NEW ROBERTO,MD,66358,1747704887,2022-2023,Closed
1390088,633089,94,Martinez Elementary School,100000000042,079 Susan Ramp,,,LAKE AUSTIN,DE,51105,6529672623,2022-2023,Closed
1390089,479622,88,Gallegos Elementary School,100000000043,54924 Susan Pine Suite 431,,,WILSONSIDE,NM,98475,2481033582,2022-2023,Pending
1390090,197950,86,Collins Elementary School,100000000044,644 Adams Road,,,NORTH SARAHSHIRE,GU,17862,8082994229,2022-2023,Open
1390091,177180,16,Larson Elementary School,100000000045,351 Mary Drives Apt. 487,,,SEANBOROUGH,MA,27545,7728366435,2022-2023,Pending
1390092,241100,5,Lyons Elementary School,100000000046,6390 Carroll Summit Apt. 790,,,HOWELLBURGH,AK,02503,2104504616,2022-2023,Open
1390093,573645,52,Steele Elementary School,100000000047,97657 Lisa Court,,,SHAWNVILLE,DC,40307,8569515701,2022-2023,Closed
1390094,758029,48,Hill Elementary School,100000000048,25583 Brittany Vista,,,NEW TRACY,MN,23322,7737864318,2022-2023,Open
1390095,890780,92,Chase Elementary School,100000000049,1123 Ferguson Circle Suite 287,,,NORTH JOHN,ID,79181,5574595514,2022-2023,Open
1390096,148045,69,Hull Elementary School,100000000050,561 Gina Drives Suite 301,,,LAKE KYLEFURT,LA,42703,0345650110,2022-2023,Pending
1390097,425404,94,Reese Elementary School,100000000051,493 Jacobson Forest Apt. 297,,,MONTOYABERG,CO,35101,5546530625,2022-2023,Pending
1390098,573895,43,Rice Elementary School,100000000052,9077 Debra Walks Suite 199,,,PORT TARA,NH,83856,8583004962,2022-2023,Open
1390099,781286,32,Perry Elementary School,100000000053,03190 Brenda Circles,,,EAST JOHNBOROUGH,MA,53844,1591561850,2022-2023,Open
1390100,770560,22,Evans Elementary School,100000000054,15542 Douglas Throughway,,,LAKE TINA,IA,12756,6279878820,2022-2023,Pending
1390101,813159,95,Hernandez Elementary School,100000000055,018 Lara Green Suite 616,,,LAKE JUSTINSIDE,UT,39766,9574007210,2022-2023,Closed
1390102,913957,32,Wilson Elementary School,100000000056,384 Phillips Ville,,,KLINEFORT,RI,98059,3303524308,2022-2023,Open
1390103,768235,22,Morgan Elementary School,100000000057,1205 David Cliff,,,NORTH JENNIFERVILLE,FL,49927,0713998803,2022-2023,Closed
1390104,647301,34,Kim Elementary School,100000000058,928 Leach Cove Apt. 182,,,MOORETON,ME,28977,4477349867,2022-2023,Pending
1390105,584775,76,Larson Elementary School,100000000059,66315 Nicole Wall Apt. 810,,,KELLYBOROUGH,MA,57604,0764469469,2022-2023,Open
1390106,607587,79,Jones Elementary School,100000000060,9587 Davila Flats,,,BROWNHAVEN,MS,86708,9969499124,2022-2023,Pending
1390107,811616,63,Burgess Elementary School,100000000061,2914 Torres Mews Apt. 738,,,LATOYATOWN,WV,80026,1656596350,2022-2023,Closed
1390108,225500,46,Gordon Elementary School,100000000062,65355 Wood Island Suite 145,,,DANABERG,MT,77147,3913472424,2022-2023,Open
1390109,514144,24,Cox Elementary School,100000000063,704 Shelley Forge,,,WEST CHRISTOPHER,KS,64803,4659821126,2022-2023,Pending
1390110,954595,76,Vargas Elementary School,100000000064,276 Nathaniel Groves Suite 243,,,WEST KIMBERLYFURT,MA,61440,1832739540,2022-2023,Closed
1390111,834705,62,Wallace Elementary School,100000000065,520 Martin Mill Suite 167,,,NORTH STEVENCHESTER,IN,36624,9771568477,2022-2023,Closed
1390112,549817,75,Mcintosh Elementary School,100000000066,11367 Pamela Mountain,,,NEW GREGORYCHESTER,MP,74039,2523762152,2022-2023,Open
1390113,356573,43,Rivera Elementary School,100000000067,144 Hardin Prairie,,,SOUTH THOMAS,OH,03108,6914588644,2022-2023,Closed
1390114,725766,84,Roberts Elementary School,100000000068,01056 Kenneth Canyon,,,PORT LATOYAPORT,NH,40774,6454669849,2022-2023,Open
1390115,998287,78,Padilla Elementary School,100000000069,742 Anna Curve,,,SHERRIPORT,KY,14405,1031958049,2022-2023,Pending
1390116,208237,34,Jackson Elementary School,100000000070,95200 James Court,,,SOUTH CHRISTOPHERBOROUGH,NY,47190,2388927630,2022-2023,Open
1390117,507268,31,Simmons Elementary School,100000000071,69881 Autumn Village Apt. 592,,,HUANGSTAD,SD,81293,6436696837,2022-2023,Pending
1390118,251537,96,Alvarez Elementary School,100000000072,5579 Gill Ways,,,NORTH MARGARETPORT,GU,24667,3119304641,2022-2023,Open
1390119,108602,90,Smith Elementary School,100000000073,316 Jasmine Ramp,,,CHARLESBURY,NJ,74752,8387279532,2022-2023,Open
1390120,322172,51,Blackwell Elementary School,100000000074,3679 Kristen Viaduct,,,WILLIAMSTOWN,NY,32918,0218132653,2022-2023,Open
1390121,425395,84,Joseph Elementary School,100000000075,379 Evans Estate,,,KENNETHFURT,MN,31770,3626432055,2022-2023,Pending
1390122,369824,9,Lopez Elementary School,100000000076,02835 Cantu Forks Apt. 278,,,LAKE ANDREW,AZ,53240,0396370688,2022-2023,Closed
1390123,626139,46,Williams Elementary School,100000000077,0722 Bryant Shoals Apt. 139,,,NORTH SHERRYVIEW,IL,15625,3578683361,2022-2023,Open
1390124,979535,51,Gonzales Elementary School,100000000078,34982 Todd Rapid,,,MYERSTOWN,AR,10697,7911365409,2022-2023,Closed
1390125,783712,24,Mills Elementary School,100000000079,154 Joseph Shoals Apt. 650,,,KNIGHTBURGH,IA,97256,8992477234,2022-2023,Pending
1390126,126645,94,Taylor Elementary School,100000000080,7502 Michael Gateway Apt. 042,,,SOUTH JORDANSTAD,FM,76650,6456565538,2022-2023,Closed
